"titleBasicsId";"titleType";"primaryTitle";"originalTitle";"isAdult";"startYear";"endYear";"runTimeMinutes";"genres"
1;"short";"Carmencita";"Carmencita";0;"1894";"";1;""
2;"short";"Le clown et ses chiens";"Le clown et ses chiens";0;"1892";"";5;""
3;"short";"Pauvre Pierrot";"Pauvre Pierrot";0;"1892";"";4;""
4;"short";"Un bon bock";"Un bon bock";0;"1892";"";12;""
5;"short";"Blacksmith Scene";"Blacksmith Scene";0;"1893";"";1;""
6;"short";"Chinese Opium Den";"Chinese Opium Den";0;"1894";"";1;""
7;"short";"Corbett and Courtney Before the Kinetograph";"Corbett and Courtney Before the Kinetograph";0;"1894";"";1;""
8;"short";"Edison Kinetoscopic Record of a Sneeze";"Edison Kinetoscopic Record of a Sneeze";0;"1894";"";1;""
9;"movie";"Miss Jerry";"Miss Jerry";0;"1894";"";45;""
10;"short";"Exiting the Factory";"La sortie de l'usine Lumière à Lyon";0;"1895";"";1;""
11;"short";"Akrobatisches Potpourri";"Akrobatisches Potpourri";0;"1895";"";1;""
12;"short";"The Arrival of a Train";"L'arrivée d'un train à La Ciotat";0;"1896";"";1;""
13;"short";"The Photographical Congress Arrives in Lyon";"Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon";0;"1895";"";1;""
14;"short";"The Sprinkler Sprinkled";"L'arroseur arrosé";0;"1895";"";1;""
15;"short";"Autour d'une cabine";"Autour d'une cabine";0;"1894";"";2;""
16;"short";"Barque sortant du port";"Barque sortant du port";0;"1895";"";1;""
17;"short";"Italienischer Bauerntanz";"Italienischer Bauerntanz";0;"1895";"";1;""
18;"short";"Das boxende Känguruh";"Das boxende Känguruh";0;"1895";"";1;""
19;"short";"The Clown Barber";"The Clown Barber";0;"1898";"";0;""
20;"short";"The Derby 1895";"The Derby 1895";0;"1895";"";1;""
22;"short";"Blacksmith Scene";"Les forgerons";0;"1895";"";1;""
23;"short";"The Sea";"Baignade en mer";0;"1895";"";1;""
24;"short";"Opening of the Kiel Canal";"Opening of the Kiel Canal";0;"1895";"";0;""
25;"short";"The Oxford and Cambridge University Boat Race";"The Oxford and Cambridge University Boat Race";0;"1895";"";0;""
26;"short";"The Messers. Lumière at Cards";"Partie d'écarté";0;"1896";"";1;""
27;"short";"Cordeliers' Square in Lyon";"Place des Cordeliers à Lyon";0;"1895";"";1;""
28;"short";"Fishing for Goldfish";"La pêche aux poissons rouges";0;"1895";"";1;""
29;"short";"Baby's Dinner";"Repas de bébé";0;"1895";"";1;""
30;"short";"Rough Sea at Dover";"Rough Sea at Dover";0;"1895";"";1;""
31;"short";"Jumping the Blanket";"Le saut à la couverture";0;"1895";"";1;""
32;"short";"Die Serpentintänzerin";"Die Serpentintänzerin";0;"1895";"";1;""
33;"short";"Trick Riding";"La voltige";0;"1895";"";1;""
34;"short";"Arrivée d'un train gare de Vincennes";"Arrivée d'un train gare de Vincennes";0;"1896";"";1;""
35;"short";"Watering the Flowers";"L'arroseur";0;"1896";"";1;""
36;"short";"Awakening of Rip";"Awakening of Rip";0;"1896";"";0;""
37;"short";"Sea Bathing";"Baignade en mer";0;"1896";"";1;""
38;"short";"The Ball Game";"The Ball Game";0;"1898";"";0;""
39;"short";"Barnet Horse Fair";"Barnet Horse Fair";0;"1896";"";0;""
40;"short";"Barque sortant du port de Trouville";"Barque sortant du port de Trouville";0;"1896";"";0;""
41;"short";"Bataille de neige";"Bataille de neige";0;"1897";"";1;""
42;"short";"Bateau-mouche sur la Seine";"Bateau-mouche sur la Seine";0;"1896";"";0;""
43;"short";"Batteuse à vapeur";"Batteuse à vapeur";0;"1896";"";0;""
44;"short";"Le bivouac";"Le bivouac";0;"1896";"";1;""
45;"short";"Les blanchisseuses";"Les blanchisseuses";0;"1896";"";0;""
46;"short";"Bois de Boulogne";"Bois de Boulogne";0;"1896";"";0;""
47;"short";"Boulevard des Italiens";"Boulevard des Italiens";0;"1896";"";0;""
48;"short";"The Boxing Kangaroo";"The Boxing Kangaroo";0;"1896";"";0;""
49;"short";"Boxing Match; or, Glove Contest";"Boxing Match; or, Glove Contest";0;"1896";"";0;""
50;"short";"Bébé et fillettes";"Bébé et fillettes";0;"1896";"";0;""
51;"short";"The Bohemian Encampment";"Campement de bohémiens";0;"1896";"";0;""
52;"short";"Carga de rurales";"Carga de rurales";0;"1896";"";1;""
53;"short";"A Chegada do Comboio Inaugural à Estação Central do Porto";"A Chegada do Comboio Inaugural à Estação Central do Porto";0;"1897";"";0;""
54;"short";"A Merry-Go-Round";"Les chevaux de bois";0;"1896";"";0;""
55;"short";"Le chiffonnier";"Le chiffonnier";0;"1896";"";0;""
56;"short";"Uma Corrida de Touros no Campo Pequeno";"Uma Corrida de Touros no Campo Pequeno";0;"1896";"";0;""
57;"short";"Cortège de tzar allant à Versailles";"Cortège de tzar allant à Versailles";0;"1896";"";0;""
