"title_basics_titleBasicsId";"directors";"writers"
1;"nm0005690";""
2;"nm0721526";""
3;"nm0721526";""
4;"nm0721526";""
5;"nm0005690";""
6;"nm0005690";""
7;"nm0374658,nm0005690";""
8;"nm0005690";""
9;"nm0085156";"nm0085156"
10;"nm0525910";""
11;"nm0804434";""
12;"nm0525910,nm0525908";""
13;"nm0525910";""
14;"nm0525910";""
15;"nm0721526";""
16;"nm0525910";""
17;"nm0804434,nm1587194";""
18;"nm0804434";""
19;"nm0932055";""
20;"nm0010291";""
22;"nm0525910";""
23;"nm0525910";""
24;"nm0010291";""
25;"nm0010291";""
26;"nm0525910";""
27;"nm0525910";""
28;"nm0525910";""
29;"nm0525910";""
30;"nm0010291,nm0666972";""
31;"nm0525910";""
32;"nm0804434";""
33;"nm0525910";""
34;"nm0617588";""
35;"nm0617588";""
36;"nm0005690";"nm0410331"
37;"nm0617588";""
38;"nm0374658";""
39;"";""
40;"nm0617588";""
41;"nm0525910";""
42;"nm0617588";""
43;"nm0617588";""
44;"nm0617588";""
45;"nm0617588";""
46;"nm0617588";""
47;"nm0617588";""
48;"nm0010291";""
49;"nm0010291";""
50;"nm0617588";""
51;"nm0617588";""
52;"nm0895515";""
53;"nm0684607";""
54;"nm0617588";""
55;"nm0617588";""
56;"nm0795060";""
57;"nm0617588";""
58;"nm0617588";""
59;"nm0617588";""
60;"nm0005690";""
61;"nm0010291";""
62;"nm0617588";""
63;"nm0617588";""
64;"nm0617588";""
65;"nm0617588";""
66;"nm0617588";""
67;"nm0617588";""
68;"nm0617588";""
69;"nm0617588";""
70;"nm0525910";""
71;"nm0617588";""
72;"nm0617588";""
73;"nm0617588";""
74;"nm0617588";""
75;"nm0617588";""
76;"nm0005690";"nm0410331"
77;"nm0617588";""
78;"nm0234288";""
79;"nm0617588";""
80;"nm0617588";""
81;"nm0617588";""
82;"nm0005690";""
83;"nm0617588";""
84;"nm0617588";""
85;"nm0617588";""
86;"nm0617588";""
87;"nm0617588";""
88;"nm0617588";""
89;"nm0525908,nm0698645";""
90;"nm0617588";""
91;"nm0617588";"nm0617588"
92;"nm0617588";""
93;"nm0525910,nm0525908";""
94;"nm0617588";""
95;"nm0617588";""
96;"nm0617588";""
97;"nm0617588";""
98;"nm0617588";""
99;"nm0617588";""
100;"nm0617588";""
101;"nm0617588";""
102;"nm0617588";""
103;"nm0617588";""
104;"";""
105;"nm0617588";""
106;"nm0617588";""
107;"nm0617588";""
108;"nm0005690";"nm0410331"
109;"nm0005690";"nm0410331"
110;"nm0005690";"nm0410331"
111;"nm0005690";"nm0410331"
112;"nm0005690";"nm0410331"
113;"nm0005690";"nm0410331"
114;"nm0617588";""
115;"nm0617588";""
116;"nm0617588";""
117;"nm0234288";""
118;"nm0617588";""
119;"nm0617588";""
120;"nm0617588";""
121;"nm0609678";""
122;"nm0617588";""
123;"nm0617588";""
124;"nm0617588";""
125;"";""
126;"nm0617588";""
127;"nm0617588";""
128;"nm0617588";""
129;"nm0617588";""
130;"nm0617588";""
131;"nm0617588";""
132;"nm0617588";"nm0617588"
133;"nm0617588";""
134;"";""
135;"nm0005690";""
136;"nm0349785";""
137;"nm0349785";""
138;"nm0617588";"nm0617588"
139;"nm0349785";""
140;"nm0349785";""
141;"nm0349785";""
142;"nm0924920";""
143;"nm0349785";""
144;"nm0349785";""
145;"nm0349785";""
146;"nm0349785";""
147;"nm0714557";""
148;"nm0349785";""
149;"nm0617588";""
150;"nm0349785";""
151;"nm0617588";""
152;"nm0617588";""
153;"nm0808310";""
154;"nm0010291";""
155;"nm0617588";""
156;"nm0617588";""
157;"nm0349785";""
158;"nm0349785";""
159;"nm0617588";""
160;"nm0095816";""
161;"nm0349785";""
162;"nm0698645";""
163;"nm0349785";""
164;"nm0349785";""
165;"nm0005717";"nm0005717"
166;"nm0005717";""
167;"nm0422809";""
168;"nm0005717";""
169;"nm0698645";""
170;"nm0666972";""
171;"nm0349785";""
172;"nm0808310";""
173;"nm0085865";""
174;"nm0471818";"nm0841389"
175;"nm0795060";""
176;"";""
177;"nm0085865";""
178;"nm0692105";""
179;"nm0617588";""
180;"nm0349785";""
181;"nm0808310";"nm0674518"
182;"nm0666972";""
183;"nm0808310";"nm0241416"
184;"nm0924920";""
185;"nm0349785";""
186;"nm0617588";""
187;"nm0349785";""
188;"nm0666972";""
189;"nm0005717";"nm0005717"
190;"nm0471818";"nm0841389"
191;"nm0349785";""
192;"nm0924920";"nm0238900"
193;"nm0349785";""
194;"nm0378408";""
195;"nm0349785";""
196;"nm0808310";"nm0324473"
197;"nm0349785";""
198;"nm0349785";""
199;"";""
200;"";""
201;"nm0005690";""
202;"nm0349785";""
203;"nm0349785";""
204;"nm0349785";""
205;"nm0349785";""
206;"nm0005717";""
207;"";""
208;"nm0808310";""
209;"nm0808310";""
210;"nm0617588";""
211;"nm0617588";"nm0617588"
212;"nm0795060";""
213;"nm0349785";""
214;"nm0085865";""
215;"nm0471818";"nm0841389"
216;"nm0005717";""
217;"nm0808310";""
218;"nm0617588";"nm0617588"
219;"nm0808310";""
220;"";""
221;"nm0182052";""
222;"nm0349785";""
223;"nm0349785";""
224;"";""
225;"";"nm0207305"
226;"";""
227;"nm4427898";""
228;"nm0349785";""
229;"";"nm0857203"
230;"nm0617588";"nm0674518"
231;"nm0795060";""
232;"nm0349785";""
233;"nm0005717";"nm0005717"
234;"nm0617588";""
235;"nm0617588";"nm0353584"
236;"nm0349785";""
237;"nm0349785";""
238;"nm0349785";""
239;"nm0349785";""
240;"";""
241;"nm0349785";""
242;"nm0617588";"nm0617588"
243;"nm0349785";""
244;"nm0349785";""
245;"";""
246;"nm0617588";""
247;"nm2156608,nm0005690,nm0002504";"nm0000636,nm0002504"
248;"nm0808310";""
249;"nm0808310";""
250;"nm0005717";""
251;"nm0177862";""
252;"nm0349785";""
253;"nm0095816";""
254;"nm0349785";""
255;"nm0349785";""
256;"";""
257;"nm0349785";""
258;"nm0349785";""
259;"nm0349785";""
260;"nm0349785";""
261;"nm0617588";""
262;"nm0349785";""
263;"";""
264;"nm0617588";""
265;"";""
266;"";""
267;"nm0349785";""
268;"nm0349785";""
269;"nm0666972";""
270;"nm0349785";""
271;"nm0349785";""
272;"nm0808310";""
273;"nm0932055";"nm0932055"
274;"nm0349785";""
275;"nm0349785";""
276;"nm0349785";""
277;"nm0349785";""
278;"";""
279;"";""
280;"";""
281;"";""
282;"nm0349785";""
283;"nm0349785";""
284;"nm0349785";""
285;"nm0095816";""
286;"nm0349785";""
287;"nm0085865,nm0807236";""
288;"nm0349785";""
289;"nm0349785";""
290;"nm0349785";""
291;"nm0349785";""
292;"nm0349785";""
293;"nm0349785";""
294;"nm0349785";""
295;"nm0349785";""
296;"nm0349785";""
297;"nm0349785";""
298;"nm0349785";""
299;"nm0349785";""
300;"nm0085865";""
301;"nm0692105";"nm0324473"
302;"nm0349785";""
303;"nm0349785";""
304;"nm0808310";""
305;"nm0349785";""
306;"nm0561109";"nm0000636"
307;"nm0085865";"nm1112850"
308;"nm0808310";""
309;"nm0378408";""
310;"";""
312;"nm0349785";""
313;"nm0808310";""
314;"nm0349785";""
315;"nm0349785";""
316;"nm0349785";""
317;"nm0349785";""
318;"nm0804434";"nm0804433"
319;"nm0793094";""
320;"nm0349785";""
321;"nm0692105";""
322;"nm0005717";""
323;"nm0349785";""
324;"nm0349785";""
325;"nm0349785";""
326;"nm0349785";""
327;"nm0349785";""
328;"nm0349785";""
329;"nm0349785";""
330;"nm0349785";""
331;"nm0349785";""
332;"nm0349785";""
333;"nm0349785";""
334;"nm0349785";""
335;"nm0095714,nm0675140";""
336;"nm0349785";""
337;"";""
338;"nm0349785";""
339;"nm0349785";""
340;"nm0692105";""
341;"nm0692105";""
342;"nm0349785";""
343;"nm0349785";""
344;"nm0349785";""
345;"nm0349785";""
346;"nm0692105";""
347;"";""
348;"nm0349785";""
349;"nm0095816";""
350;"nm0666972";""
351;"nm0349785";""
352;"nm0692105";""
353;"nm0692105";""
354;"nm0182052";""
355;"nm0932055";""
356;"nm0349785";""
357;"nm0095816";""
358;"nm0954087";"nm0954087"
359;"nm0617588";""
360;"nm0349785";""
361;"nm0349785";""
362;"nm0349785";""
363;"nm0095816";"nm0095816"
364;"nm0692105";""
365;"nm0182052";""
366;"nm0182052";""
367;"nm0349785";""
368;"nm0617588";"nm0674518"
369;"nm0005717";""
370;"nm0095816";"nm1304340,nm0002042"
371;"nm0349785";""
372;"nm0349785";""
373;"nm0954087";""
374;"nm0349785";""
375;"nm0182052";""
376;"nm0958169";"nm0670740"
377;"nm0095816";""
378;"nm0349785";""
379;"nm0005717";""
380;"nm0634629,nm0954087";"nm0674518"
381;"";""
382;"nm0005717";""
383;"nm0005717";""
384;"nm0349785";""
385;"nm0349785";""
386;"nm0349785";""
387;"nm0617588,nm0881616";""
388;"nm0349785";""
389;"nm0349785";""
390;"nm0349785";""
391;"nm0349785";""
392;"nm0095816";""
393;"nm0349785";""
394;"nm0349785";""
395;"nm0349785";""
396;"nm0349785";""
397;"nm0349785";""
398;"nm0349785";""
399;"nm2092030,nm0692105";""
400;"nm0349785";""
401;"nm0349785";""
402;"nm0808310";""
403;"nm0349785";""
404;"nm0349785";""
405;"nm0349785";""
406;"";""
407;"nm0005717";""
408;"nm0349785";""
409;"nm0349785";""
410;"nm0035502";""
411;"nm0349785";""
412;"nm0555522";""
413;"nm0617588";"nm0617588"
414;"nm0692105";""
415;"nm0349785";""
416;"nm0954087";"nm0954087,nm0957652"
417;"nm0617588";"nm0617588,nm0894523,nm0920229"
418;"nm0353576";""
419;"nm0349785";""
420;"nm0378408,nm0832948";"nm0140902,nm0378408"
421;"nm0349785";""
422;"nm0349785";""
