"parentTconst";"seasonNumber";"episodeNumber";"title_basics_titleBasicsId"
41038;1;9;41951
989125;1;17;42816
989125;0;0;42889
40051;3;42;43426
989125;2;16;43631
989125;2;8;43693
989125;3;3;43710
959862;1;6;44093
989125;3;46;44901
989125;4;11;45519
44284;2;3;45960
989125;4;5;46135
341798;0;0;46150
46643;1;4;46855
989125;5;20;46864
914702;3;36;47810
47745;1;15;47852
46637;2;9;47858
989125;6;5;47961
46587;2;20;48067
47768;1;6;48302
989125;6;11;48371
47702;1;6;48378
47702;1;3;48462
47768;1;10;48562
989125;6;42;48883
46593;1;20;49473
914702;1;30;49572
48893;1;2;49669
50013;1;4;50031
48893;1;20;50259
46593;4;1;50318
914702;3;39;50320
4280482;1;1;50641
161126;2;11;50678
46637;3;6;50695
48893;1;16;50988
50013;1;6;51344
48893;3;2;51523
48893;2;15;51625
161126;3;9;51680
989125;9;45;51929
441950;4;2;52128
793361;1;2;52236
793361;1;5;52237
793361;1;4;52238
793361;1;3;52239
793361;1;1;52240
793361;1;6;52241
1646046;1;10;52290
914702;4;18;52628
50013;2;9;52630
4280486;1;8;52647
320048;1;11;52730
259792;0;0;52857
259792;0;0;52866
50013;2;6;52874
914702;3;28;52931
4280486;1;1;52952
793361;2;3;53303
793361;2;2;53304
793361;2;1;53305
1845727;1;1;53343
52511;1;3;53384
259792;0;0;53405
48893;4;14;53581
190181;1;6;53722
190181;1;2;53723
341798;4;17;53827
48893;4;8;53966
348926;1;5;53974
51312;2;1;54015
259792;0;0;54028
190181;1;5;54057
259792;0;0;54062
259792;0;0;54087
52511;1;33;54319
793361;3;1;54338
793361;3;3;54339
793361;3;2;54340
190181;2;4;54645
190181;2;8;54654
190181;2;3;54754
914702;4;27;54794
190181;3;6;54796
46593;8;2;54994
320048;1;10;54996
190181;2;5;55130
161126;4;27;55131
190181;2;2;55132
161126;4;47;55203
259792;0;0;55250
190181;1;7;55281
914702;6;26;55314
259792;0;0;55334
990935;2;20;55359
161126;4;43;55387
914702;7;8;55433
161126;4;36;55443
793361;4;2;55476
793361;4;1;55477
793361;5;2;55704
54532;1;28;55808
46593;10;17;55929
259792;0;0;55952
46593;9;2;55961
54513;2;1;55989
46593;9;1;56033
10275908;1;4;56152
259792;0;0;56199
46593;9;10;56250
55685;1;18;56266
190181;3;1;56295
55685;1;4;56324
259792;0;0;56359
46593;8;21;56373
990935;4;21;56374
2199914;1;7;56398
46593;9;6;56441
914702;4;49;56476
190181;3;5;56508
793361;5;1;56523
403808;2;5;56525
55663;0;0;56578
190181;3;2;56590
190181;4;2;56798
190181;5;2;56809
259792;0;0;56980
190181;4;7;57010
46593;10;1;57157
46593;9;16;57201
46593;9;15;57255
969924;3;21;57260
190181;4;5;57451
190181;4;6;57456
793361;6;1;57526
242203;3;1;57585
46593;10;5;57668
10275908;2;18;57671
259792;0;0;57672
190181;5;8;57817
10306302;1;24;57828
10283858;1;2;57850
10275908;2;53;57856
46593;10;12;57867
259792;0;0;57874
1384817;1;7;57927
10275908;2;66;57947
1314953;1;11;57959
969924;4;2;57976
497975;1;1;58015
259792;0;0;58035
190181;5;9;58078
56754;1;23;58116
10275908;2;61;58141
10275908;2;64;58180
217931;0;0;58302
10275908;2;83;58568
793361;7;1;58613
793361;7;2;58614
46593;11;7;58640
190181;5;7;58746
58853;1;34;58893
259792;0;0;58900
969640;1;2;58908
212699;1;7;58914
212698;3;4;58916
58853;1;25;58927
405611;1;3;58931
46593;12;19;58937
58853;1;41;58984
969640;1;1;58989
58853;1;18;59011
58853;1;72;59020
212698;3;10;59047
969640;1;11;59048
58853;1;17;59053
58836;1;2;59061
969640;1;8;59086
190181;6;4;59092
212698;3;1;59158
212699;1;12;59165
58853;1;29;59191
58836;1;8;59198
58853;1;35;59225
212699;1;2;59230
405611;1;1;59286
165593;1;3;59333
969640;1;5;59396
165593;1;7;59420
969924;4;14;59450
212698;3;5;59451
212699;1;5;59461
212699;1;10;59476
212698;3;11;59510
58836;1;1;59513
212698;3;12;59523
969640;1;7;59537
212699;1;1;59566
165593;1;2;59569
212699;1;13;59571
58853;1;69;59591
212698;3;3;59658
58853;1;33;59708
212698;3;8;59717
793361;7;3;59751
58853;1;42;59752
60028;1;0;59753
190181;6;3;59759
58836;1;5;59808
58853;1;40;59822
58853;1;38;59830
212698;2;15;59847
1157603;1;1;59849
58853;1;37;59854
58853;1;43;59886
212698;4;0;60031
212698;4;7;60100
58853;1;62;60119
58853;1;57;60166
58853;1;45;60180
58853;1;48;60202
233023;1;7;60208
212699;1;29;60211
212699;1;20;60217
212698;3;17;60235
58853;1;60;60255
165593;2;3;60257
233023;1;2;60282
165593;2;2;60284
165593;1;8;60292
212698;3;15;60322
1711895;1;13;60331
212699;1;33;60365
212699;1;27;60367
212699;1;15;60370
233023;1;9;60384
58836;2;7;60387
212698;4;8;60394
58836;2;9;60403
212698;3;28;60412
212698;3;16;60419
212699;1;16;60425
58836;2;2;60428
212698;3;36;60460
165593;1;4;60470
58853;1;71;60493
58853;1;68;60506
815352;0;0;60556
861682;1;5;60567
58853;1;76;60634
58836;2;1;60643
58853;1;53;60644
190181;5;11;60656
165593;2;4;60657
212698;3;21;60663
58853;1;77;60682
46593;13;16;60715
861682;1;11;60727
212699;2;9;60772
212698;3;34;60781
212699;2;6;60844
212698;3;27;60875
212698;3;23;60876
165593;4;3;60953
58853;1;49;60981
58853;1;58;60996
793361;7;4;61025
60028;1;3;61027
861682;1;12;61048
58853;1;75;61063
58853;1;63;61100
58836;2;10;61104
212699;2;12;61110
212698;3;26;61129
1157603;1;2;61143
212698;3;31;61145
58853;1;54;61171
58836;2;11;61172
58853;1;70;61178
58853;1;50;61185
861682;1;4;61187
56792;5;3;61231
797756;1;2;61312
212699;2;20;61327
797756;1;1;61348
212699;2;37;61361
1323588;1;12;61392
212699;2;28;61413
46593;14;11;61422
1323588;1;7;61425
212698;5;7;61430
1323588;1;3;61466
1323588;1;5;61527
1323588;1;2;61533
212698;4;29;61544
200358;1;8;61552
58853;1;84;61554
58853;1;101;61564
212699;2;27;61639
58853;1;102;61642
212698;4;20;61644
212698;4;24;61666
165593;3;1;61713
58853;1;123;61721
212698;4;23;61760
212698;5;4;61813
212699;2;29;61825
212698;5;8;61871
212699;3;1;61901
398430;1;10;61915
398430;1;8;61921
161126;7;2;61940
212698;5;1;61965
58853;1;93;61967
165593;3;2;61991
58853;1;107;62066
212699;2;16;62072
58853;1;133;62074
58853;1;79;62081
165593;3;4;62095
212698;5;10;62134
58853;1;103;62158
161126;8;3;62170
212699;2;14;62172
398430;1;3;62176
165593;3;3;62214
212698;4;12;62280
212698;4;28;62303
212699;2;13;62344
212699;2;18;62348
212699;2;24;62406
1157603;1;3;62423
212699;2;25;62469
58853;1;98;62471
298665;1;8;62476
1323588;1;6;62495
212699;4;5;62603
58853;1;126;62672
58853;1;132;62717
212699;4;13;62720
407402;1;8;62735
298665;1;33;62750
62599;1;4;62756
58853;1;125;62791
212699;4;4;62795
58853;1;115;62811
212699;4;14;62835
212698;5;12;62843
165593;3;5;62845
10524910;0;0;62854
58853;1;113;62910
212698;5;19;62954
212698;5;20;62956
212699;4;16;62999
62568;1;0;63046
165593;3;11;63047
212698;5;21;63078
260607;0;0;63100
58853;1;111;63150
396335;1;6;63187
212698;5;16;63209
407402;1;13;63235
165593;4;2;63264
165593;3;10;63266
212699;4;2;63284
914702;9;44;63298
212698;5;26;63302
212698;5;11;63327
212699;3;13;63343
58853;1;124;63349
396335;1;1;63355
58853;1;131;63367
212699;4;8;63377
200358;1;17;63381
212698;5;22;63438
407402;1;2;63449
914702;12;26;63455
407402;1;11;63457
212699;3;12;63460
212699;3;35;63481
797756;1;3;63566
297530;1;2;63590
200358;2;1;63628
58853;1;122;63637
165593;4;1;63639
793361;7;5;63641
212699;3;31;63645
212698;5;15;63659
165593;3;8;63676
168387;2;1;63686
212698;5;13;63702
58853;1;109;63706
1157603;1;4;63743
398430;2;7;63749
165593;4;4;63795
212698;5;24;63815
407402;1;12;63817
958966;1;2;64058
958966;1;13;64077
58853;1;138;64090
58853;1;156;64097
958966;1;1;64138
58853;1;143;64163
58853;1;150;64173
62578;2;7;64174
212699;4;33;64184
958966;1;3;64187
63875;1;0;64214
1601979;1;6;64289
958966;1;10;64292
806910;1;9;64304
398430;3;3;64309
797756;1;5;64314
797756;1;4;64325
58836;3;10;64342
212699;5;2;64361
58836;3;13;64367
58853;1;153;64404
165593;5;1;64412
212699;4;25;64444
165593;4;9;64468
65303;1;0;64475
58853;1;158;64502
165593;4;8;64525
958966;1;4;64584
958966;1;8;64600
63927;1;0;64636
65317;1;0;64648
1601979;1;5;64657
10524910;0;0;64678
297621;1;15;64692
958966;1;11;64700
46593;16;2;64705
65327;1;0;64725
398430;3;2;64830
212699;4;34;64901
212699;4;26;64903
297621;1;30;64922
1601979;1;4;64942
58853;1;142;64998
58836;3;5;65015
58853;1;144;65017
212699;5;11;65056
1245421;0;0;65066
58836;3;11;65068
242211;8;1;65074
63955;1;0;65087
165593;5;4;65098
914702;12;13;65115
63928;1;0;65141
1157603;1;5;65158
1601979;1;7;65190
65357;1;0;65232
66625;1;1;65381
958966;2;11;65382
165592;1;4;65404
212699;5;32;65461
46593;17;2;65487
1685416;1;10;65540
958966;2;7;65559
200358;3;22;65608
1342999;1;1;65609
165592;1;7;65645
1685416;1;2;65682
58853;1;170;65689
1415092;4;3;65697
165593;6;4;65725
958966;2;13;65728
797756;1;6;65741
797756;1;8;65745
297621;3;30;65811
165592;1;8;65822
212699;5;34;65849
165593;5;7;65860
58853;1;160;65864
212699;5;27;65902
958966;2;2;65910
1685416;1;8;65937
1342999;1;2;65941
297621;2;36;65971
212699;5;17;65972
165592;1;3;65982
66681;1;0;66000
1685416;1;1;66003
165593;6;1;66028
1077047;1;1;66084
958966;2;6;66180
66631;1;0;66235
66705;1;0;66254
797756;1;7;66257
212699;6;1;66278
958966;2;3;66280
165592;1;16;66281
58853;1;161;66293
165593;5;8;66305
165593;6;2;66313
65343;1;0;66326
66708;1;0;66332
797756;1;9;66340
58853;1;159;66347
165593;5;6;66353
58853;1;169;66394
806910;1;2;66439
806910;1;1;66440
1685416;1;12;66467
165593;6;3;66504
1157603;1;6;66510
55701;6;15;66521
958966;2;5;66525
958966;2;9;66529
165593;6;7;66570
212699;6;2;66591
165593;6;5;66744
165592;1;11;66755
212699;6;33;66768
212699;6;20;66788
68045;1;0;66810
212699;6;14;66874
165593;6;6;66884
165593;7;4;66910
58836;4;9;66912
1466074;1;3;66931
1466074;1;1;66932
1466074;1;0;66933
1466074;1;4;66934
6074004;1;2;66964
58836;4;4;66978
927036;1;1;66979
165593;6;8;67007
68067;1;0;67046
165592;2;3;67070
165592;1;23;67071
212699;6;15;67081
935096;0;0;67098
797756;1;11;67106
165592;1;18;67114
212699;7;6;67130
68077;1;1;67194
165592;1;13;67196
159876;1;10;67207
68149;1;0;67209
212699;7;11;67265
65349;2;12;67267
212699;6;28;67272
212699;5;30;67348
65349;2;11;67363
165592;1;22;67387
165592;2;6;67426
165593;7;1;67428
806910;1;12;67442
66693;1;0;67509
165592;2;4;67518
66685;1;0;67529
165592;1;20;67536
66696;1;0;67542
297621;3;22;67552
165593;6;9;67586
806901;1;1;67596
297621;3;16;67611
61266;5;1;67612
212699;6;19;67623
165593;7;2;67653
806910;1;11;67675
212699;6;30;67687
2162303;0;0;67743
165592;2;7;67762
165593;7;3;67826
806910;1;10;67829
806910;1;8;67830
806910;1;6;67831
806910;1;5;67832
806910;1;3;67833
806910;1;129;67834
212699;6;16;67841
797756;1;10;67860
165592;2;1;67875
165593;7;9;67877
58836;4;10;67905
1157603;1;7;67910
165592;1;19;67978
212699;7;20;68175
212699;8;5;68220
68527;1;5;68247
68044;1;0;68253
165592;3;8;68254
212699;7;33;68265
849411;0;0;68299
212699;8;17;68362
1466074;1;7;68395
1466074;2;4;68396
1466074;1;2;68397
1466074;2;1;68398
1466074;1;5;68399
1466074;1;6;68400
1466074;2;2;68401
1466074;2;3;68402
68527;1;4;68405
68060;1;1;68410
165592;2;17;68422
68064;1;0;68474
2162303;0;0;68512
297628;1;4;68601
165592;3;7;68630
10303278;0;0;68651
165593;8;2;68689
68527;1;2;68712
797756;1;12;68736
10282668;0;0;68770
165592;3;9;68788
797756;1;15;68799
165593;8;3;68804
212699;7;30;68807
212699;8;16;68819
68093;1;0;68823
165593;7;8;68829
212699;8;2;68886
165593;8;4;68896
165592;3;4;68905
165593;7;7;68937
212699;7;29;68946
165593;8;1;68949
68527;1;1;68975
2162303;0;0;68977
212699;7;16;69023
797756;1;13;69040
2162303;0;0;69070
212699;7;19;69071
806910;1;22;69163
165592;3;1;69176
68126;1;0;69193
423738;1;3;69274
423738;1;1;69275
222545;1;5;69285
69633;1;1;69288
165592;2;11;69313
68135;1;0;69323
806910;1;24;69346
806910;1;21;69347
806910;1;19;69348
806910;1;25;69349
69643;1;0;69357
1414347;1;4;69367
212699;8;4;69376
797756;1;14;69388
7525698;0;0;69399
1414347;1;2;69402
212699;7;17;69440
46593;17;4;69480
222545;1;7;69512
212699;8;32;69673
165592;3;19;69675
165593;8;5;69680
1695587;0;0;69767
10303278;0;0;69777
797756;1;16;69802
165593;8;6;69839
297621;6;9;69857
165593;8;8;69858
1466074;2;6;69900
1466074;3;2;69901
1466074;3;3;69902
1466074;3;4;69903
1466074;2;8;69904
1466074;3;1;69905
1466074;2;7;69906
165593;9;2;69910
212699;8;29;69931
68527;1;7;69940
164295;1;4;70019
931193;1;1;70043
931193;1;2;70044
931193;1;3;70045
202206;1;2;70073
407366;1;6;70117
65296;4;4;70123
165592;3;20;70153
69589;1;0;70161
165592;4;2;70171
212699;8;22;70226
762803;1;2;70247
70977;2;1;70324
68527;1;8;70330
297621;5;20;70333
69606;1;0;70353
165592;3;21;70360
298709;1;5;70385
1667703;1;2;70440
1695587;0;0;70441
1667703;1;3;70476
164295;2;4;70480
165592;3;16;70482
312084;1;3;70494
1049986;1;1;70542
212699;8;21;70546
69620;1;0;70551
165593;9;4;70577
165593;9;3;70597
202179;2;1;70611
165593;8;7;70612
407366;1;5;70711
164295;1;3;70715
165592;3;15;70717
165592;3;22;70725
797756;1;17;70732
70993;1;0;70745
806910;1;29;70776
806910;1;34;70777
348892;1;17;70786
165592;3;24;70799
69646;1;0;70816
298709;1;3;70824
65327;2;18;70925
1695587;0;0;70958
267198;1;7;71074
165592;4;11;71119
159876;0;0;71158
277509;1;1;71191
72470;1;0;71195
69633;1;5;71223
202179;3;2;71246
762803;1;3;71264
165593;9;5;71302
165592;4;21;71313
164295;2;6;71343
1466074;3;8;71345
1466074;4;3;71346
1466074;3;6;71347
1466074;4;2;71348
1466074;3;5;71349
1466074;2;5;71350
1466074;3;7;71351
277509;1;2;71393
165593;9;7;71403
165593;10;2;71461
200358;8;8;71501
277509;1;4;71546
70990;1;0;71548
298665;8;1;71551
199214;3;1;71570
298665;8;3;71574
71012;1;0;71656
1049986;2;1;71659
1049986;1;12;71669
419311;1;4;71683
165592;4;12;71697
71007;1;0;71759
71008;1;0;71781
806910;1;46;71810
1389029;1;2;71823
1091486;1;10;71869
164295;4;3;71876
1389029;1;3;71881
71017;1;0;71894
164295;6;2;71903
202206;0;0;71912
164295;3;6;71924
969783;1;2;72072
165593;10;4;72091
71042;1;0;72093
165592;4;20;72121
63920;6;11;72127
71056;1;0;72138
1091486;1;11;72164
165593;9;8;72175
72567;1;0;72203
806910;1;36;72258
806910;1;41;72259
72576;1;0;72283
270780;1;3;72341
165593;10;3;72420
849411;0;0;72458
202206;0;0;72465
165592;6;4;72593
165593;10;5;72654
1614886;1;6;72660
