"tablePrincipalsId";"title_basics_titleBasicsId";"name_basics_nconst";"category";"job";"characters"
3;1;1588970;"self";"";"[""Herself""]"
4;1;5690;"director";"";""
5;1;374658;"cinematographer";"director of photography";""
6;2;721526;"director";"";""
7;2;1335271;"composer";"";""
8;3;721526;"director";"";""
9;3;5442194;"producer";"producer";""
10;3;1335271;"composer";"";""
11;3;5442200;"editor";"";""
12;4;721526;"director";"";""
13;4;1335271;"composer";"";""
14;5;443482;"actor";"";"[""Blacksmith""]"
15;5;653042;"actor";"";"[""Assistant""]"
16;5;5690;"director";"";""
17;5;249379;"producer";"producer";""
18;6;5690;"director";"";""
19;7;179163;"actor";"";""
20;7;183947;"actor";"";""
21;7;5690;"director";"";""
22;7;374658;"director";"";""
23;7;249379;"producer";"producer";""
24;8;653028;"actor";"";"[""Sneezing Man""]"
25;8;5690;"director";"";""
26;8;374658;"cinematographer";"";""
27;9;63086;"actress";"";"[""Miss Geraldine Holbrook (Miss Jerry)""]"
28;9;183823;"actor";"";"[""Mr. Hamilton""]"
29;9;1309758;"actor";"";"[""Chauncey Depew - the Director of the New York Central Railroad""]"
30;9;85156;"director";"";""
31;10;525910;"director";"";""
32;11;3692297;"actor";"";"[""Acrobats""]"
33;11;804434;"director";"";""
34;12;2880396;"self";"";"[""Herself""]"
35;12;9735580;"self";"";"[""Himself""]"
36;12;525900;"self";"";"[""Herself""]"
37;12;9735581;"self";"";"[""Herself""]"
38;12;525908;"director";"";""
39;12;525910;"director";"";""
40;12;9735579;"self";"";"[""Herself""]"
41;12;9653419;"self";"";"[""Herself""]"
42;13;525908;"self";"";"[""Himself""]"
43;13;1715062;"self";"";"[""Himself""]"
44;13;525910;"director";"";""
45;14;166380;"actor";"";"[""The Gardener""]"
46;14;244989;"actor";"";"[""The Boy""]"
47;14;525910;"director";"";""
48;15;721526;"director";"";""
49;16;525900;"self";"";"[""Herself (on the pier)""]"
50;16;9735581;"self";"";"[""Herself (on the pier)""]"
51;16;525910;"director";"";""
52;17;3691272;"actor";"";"[""The boy""]"
53;17;3692829;"actress";"";"[""The girl""]"
54;17;1587194;"director";"";""
55;17;804434;"director";"";""
56;18;3692071;"actor";"";"[""The Boxer""]"
57;18;804434;"director";"";""
58;19;932055;"director";"";""
59;20;10291;"director";"";""
60;20;666972;"producer";"producer";""
61;22;525910;"director";"";""
62;23;525910;"director";"";""
63;24;256651;"self";"";"[""Herself - Empress of Gemany""]"
64;24;435118;"self";"";"[""Himself - Emperor of Germany""]"
65;24;10291;"director";"";""
66;24;666972;"producer";"producer";""
67;25;10291;"director";"";""
68;25;666972;"producer";"producer";""
69;26;2350007;"actor";"";"[""Valet""]"
70;26;525907;"actor";"";"[""Man playing cards, seated on the left""]"
71;26;1151424;"actor";"";"[""Man playing cards, seated on the right""]"
72;26;2354154;"actor";"";"[""Man playing cards, seated in the middle""]"
73;26;525910;"director";"";""
74;27;525910;"director";"";""
75;28;2350838;"self";"";"[""Himself""]"
76;28;525908;"self";"";"[""Himself""]"
77;28;525910;"director";"";""
78;29;525908;"self";"";"[""Himself""]"
79;29;525900;"self";"";"[""Herself""]"
80;29;2350838;"self";"";"[""Himself""]"
81;29;525910;"director";"";""
82;30;10291;"director";"";""
83;30;666972;"director";"";""
84;31;525910;"director";"";""
85;32;3692479;"actress";"";"[""The dancer""]"
86;32;804434;"director";"";""
87;33;525910;"director";"";""
88;34;617588;"director";"";""
89;35;617588;"director";"";""
90;36;420198;"actor";"";"[""Rip Van Winkle""]"
91;36;5690;"director";"";""
92;36;410331;"writer";"story ""Rip Van Winkle""";""
93;36;5658;"cinematographer";"";""
94;37;617588;"director";"";""
95;38;2960633;"self";"";"[""Himself - First baseman""]"
96;38;340719;"self";"";"[""Himself""]"
97;38;2958402;"self";"";"[""Himself""]"
98;38;374658;"director";"";""
99;39;666972;"producer";"producer";""
100;40;617588;"director";"";""
101;41;525910;"director";"";""
102;41;525908;"producer";"producer";""
103;42;617588;"director";"";""
104;43;617588;"director";"";""
105;44;617588;"director";"";""
106;45;617588;"director";"";""
107;46;617588;"director";"";""
108;47;617588;"director";"";""
109;48;10291;"director";"";""
110;49;10291;"director";"";""
111;50;3029234;"self";"";"[""Herself""]"
112;50;617588;"director";"";""
113;51;617588;"director";"";""
114;52;895515;"director";"";""
115;52;1729239;"cinematographer";"";""
116;53;684607;"director";"";""
117;54;617588;"director";"";""
118;55;617588;"director";"";""
119;56;795060;"director";"";""
120;57;874739;"self";"";"[""Himself (Tsar of Russia)""]"
121;57;874746;"self";"";"[""Herself (Tsarina of Russia)""]"
122;57;617588;"director";"";""
